Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Age dependency ratio (% of working-age population),SP.POP.DPND,Austria,AUT,48.5314835045852,48.7023662273001,48.9291677498263,49.2868816392703,49.6623569043861,50.0491128012816,50.4950869364154,51.1182513489329,51.9413226860757
Age dependency ratio (% of working-age population),SP.POP.DPND,Ukraine,UKR,43.710556274321,44.7402148573401,45.6964538575444,46.5839816177943,47.2192684169507,47.7578663576724,48.186102353998,48.4162671115362,52.0549709130845
